id,name,region,category,lat,lng,has_image,image_source,image_url,image_thumbnail,image_page,image_title,image_verified,image_verification_score,image_verification_max,image_rejected_count,image_was_new,image_reject_reasons,v1_license,v2_metadata,v3_safe,v4_gps,v5_vision
p435,Sagnfossen,Innlandet,waterfall,61.16196,12.44693,False,,,,,,False,0,5,0,False,,,,,,
p436,Falla,Innlandet,waterfall,60.91456,11.25508,False,,,,,,False,0,5,0,False,,,,,,
p437,Strypefossen,Buskerud,waterfall,60.55347,9.91863,False,,,,,,False,0,5,0,False,,,,,,
p438,Nyseterfossen,Møre og Romsdal,waterfall,62.66642,7.76615,False,,,,,,False,0,5,0,False,,,,,,
p439,Nekfallet,Innlandet,waterfall,62.06496,11.07217,False,,,,,,False,0,5,0,False,,,,,,
p440,Kolåsfossen,Møre og Romsdal,waterfall,62.23334,6.27973,False,,,,,,False,0,5,0,False,,,,,,
p441,Berlifossen,Møre og Romsdal,waterfall,62.34575,7.40845,False,,,,,,False,0,5,0,False,,,,,,
p442,Hestskofossen,Innlandet,waterfall,61.52065,12.06114,False,,,,,,False,0,5,0,False,,,,,,
p443,Litlefossen,Møre og Romsdal,waterfall,62.79647,7.22627,False,,,,,,False,0,5,1,False,Malmelva kraftverk.jpg: L1: Unknown or restricted license: cc by 4.0,,,,,
p444,Kvennfalla,Innlandet,waterfall,61.29574,12.00288,False,,,,,,False,0,5,0,False,,,,,,
p445,Aurdalsfossa,Innlandet,waterfall,60.5441,9.72725,False,,,,,,False,0,5,0,False,,,,,,
p446,Fagerhaugfossen,Møre og Romsdal,waterfall,63.26791,8.55081,False,,,,,,False,0,5,0,False,,,,,,
p447,Glømsefossen,Trøndelag,waterfall,63.00503,10.0583,False,,,,,,False,0,5,0,False,,,,,,
p448,Skynnfallet,Innlandet,waterfall,61.15959,11.31625,False,,,,,,False,0,5,0,False,,,,,,
p449,Hynnfossen,Trøndelag,waterfall,63.05741,11.43766,False,,,,,,False,0,5,0,False,,,,,,
p450,Styggfossen,Innlandet,waterfall,61.51971,12.0457,False,,,,,,False,0,5,0,False,,,,,,
p451,Stamfoss,Innlandet,waterfall,60.61542,9.70934,False,,,,,,False,0,5,0,False,,,,,,
p452,Sagfallet,Innlandet,waterfall,60.91147,11.41546,False,,,,,,False,0,5,0,False,,,,,,
p453,Storstoen,Trøndelag,waterfall,63.04029,9.24002,False,,,,,,False,0,5,0,False,,,,,,
